pathway_id	pathway_name	genes
R-HSA-2172127	DAP12 interactions	A6NMB1,A8K4G0,O00241,O43914,O43914,O95944,P01889,P10321,P13747,P26717,P26718,P43631,P43632,P61769,Q08ET2,Q13241,Q14943,Q14953,Q14954,Q496F6,Q6ZMC9,Q9NP99,Q9NY25,Q9NZC2
R-HSA-1442490	Collagen degradation	A6NMZ7,A8TX70,O14672,O60882,P02452,P02452,P02458,P02458,P02461,P02461,P02462,P02462,P03956,P03956,P05997,P07339,P07478,P07711,P07858,P08123,P08123,P08246,P08253,P08253,P08254,P08254,P08572,P08572,P09237,P09238,P09238,P09958,P09958,P12107,P12107,P12109,P12110,P12111,P13942,P13942,P14780,P14780,P20849,P20908,P22894,P24347,P25067,P25067,P25940,P27658,P27658,P29400,P29400,P39059,P39060,P39900,P43235,P45452,P45452,P50281,P50281,P51511,P53420,P53420,P78536,Q01955,Q01955,Q02388,Q02388,Q03692,Q03692,Q05707,Q07092,Q13443,Q14031,Q14031,Q14050,Q14055,Q14993,Q5TAT6,Q86Y22,Q8IU80,Q8IU80,Q8IUZ5,Q96A83,Q99542,Q99715,Q9BXS0,Q9UMD9
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	A6NMZ7,A8TX70,O00469,O15072,O15460,O43897,O60568,O75718,O95450,P02452,P02458,P02461,P02462,P05997,P07237,P08123,P08572,P12107,P12109,P12110,P12111,P13497,P13674,P13942,P20849,P20908,P23284,P25067,P25940,P27658,P29400,P39059,P39060,P50454,P53420,Q01955,Q02388,Q02809,Q03692,Q05707,Q07092,Q14031,Q14050,Q14055,Q14993,Q15113,Q17RW2,Q2UY09,Q32P28,Q5TAT6,Q7Z4N8,Q86Y22,Q8IVL5,Q8IVL6,Q8IYK4,Q8IZC6,Q8NBJ5,Q8NFW1,Q8WXS8,Q96A83,Q96P44,Q99715,Q9BXS0,Q9P218,Q9UKZ9,Q9UMD9,Q9Y6L7
R-HSA-186797	Signaling by PDGF	A6NMZ7,A8TX70,P00747,P00750,P01127,P02458,P02461,P02462,P04085-1,P04085-2,P05997,P07996,P08572,P09619,P09958,P10451,P12109,P12110,P12111,P16234,P20849,P20908,P25940,P29400,P35442,P35443,P49746,P53420,Q01955,Q05209,Q14050,Q14055,Q9GZP0,Q9NRA1-1
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	A6NMZ7,A8TX70,O60882,O60911,P02452,P02458,P02461,P02462,P05997,P07711,P07858,P08123,P08254,P08572,P09237,P12107,P12109,P12110,P12111,P13942,P14780,P16144,P20849,P20908,P23229,P25067,P25774,P25940,P27658,P29400,P39059,P39060,P45452,P48509,P53420,Q01955,Q02388,Q03001-3,Q03692,Q05707,Q13751,Q13753,Q14031,Q14050,Q14055,Q15149,Q16787,Q17RW2,Q8IZC6,Q99715,Q9UMD9
R-HSA-216083	Integrin cell surface interactions	A6NMZ7,A8TX70,O00468,O75578,O75578,P02452,P02452,P02458,P02458,P02461,P02462,P02462,P02671,P02675,P02679,P02751,P04004,P04275,P05106,P05106,P05107,P05362,P05556,P05556,P05997,P06756,P06756,P07996,P08123,P08123,P08514,P08572,P08572,P08648,P08648,P10451,P10451,P11215,P12109,P12110,P12111,P12830,P13598,P13612,P13612,P16070,P16284,P17301,P17301,P18084,P18084,P18564,P19320,P20701,P20702,P20849,P20908,P21815,P23229,P23229,P24821,P25067,P25940,P26006,P26006,P26010,P26012,P27658,P29400,P29400,P32942,P35555,P35613,P35968,P38570,P39060,P49747,P51884,P53420,P53420,P53708,P53708,P56199,P56199,P57087,P98160,Q01955,Q01955,Q02388,Q03692,Q07092,Q08722,Q13349,Q13477-1,Q13683,Q13797,Q13797,Q14031,Q14031,Q14050,Q14055,Q14773,Q5TAT6,Q86Y22,Q9BX67,Q9UKX5,Q9UKX5,Q9UMF0,Q9Y624
R-HSA-3000178	ECM proteoglycans	A6NMZ7,A6NMZ7,A8TX70,A8TX70,O00468,O00468,O14594,O15146,O15230,O15232,O75096,O95460,P01137,P02452,P02452,P02458,P02458,P02461,P02461,P02462,P02751,P04004,P04004,P05067,P05106,P05121,P05556,P05997,P06756,P07585,P07585,P07942,P08123,P08123,P08514,P08572,P09486,P10600,P10915,P11047,P12109,P12109,P12110,P12110,P12111,P12111,P13591,P13611,P16112,P17301,P18084,P18564,P20702,P20849,P20908,P21810,P21810,P21815,P21941,P22105,P24043,P24821,P25391,P25940,P29400,P49747,P51884,P53420,P53708,P55268,P61812,P98160,Q01955,Q06828,Q13316,Q13332,Q13683,Q13797,Q14031,Q14050,Q14055,Q14118,Q14118,Q16363,Q16787,Q92752,Q96GW7,Q9BXN1,Q9NZW4,Q9UQP3
R-HSA-419037	NCAM1 interactions	A6NMZ7,A8TX70,O00305,O00451,O00468,O14594,O43497,O60542,O95180,P02458,P02461,P02462,P04156,P05997,P08572,P12109,P12110,P12111,P13591,P13591,P20849,P20908,P25940,P29400,P39905,P53420,P54284,P56159,Q01668,Q01955,Q02246,Q02641,Q08289,Q13698,Q13936,Q14050,Q14055,Q5T4W7,Q92186,Q92187,Q99748,Q9GZZ7,Q9P0X4
R-HSA-8948216	Collagen chain trimerization	A6NMZ7,A8TX70,P02452,P02458,P02461,P02462,P05997,P08123,P08572,P12107,P12109,P12110,P12111,P13942,P20849,P20908,P25067,P25940,P27658,P29400,P39059,P39060,P53420,Q01955,Q02388,Q03692,Q05707,Q07092,Q14031,Q14050,Q14055,Q14993,Q17RW2,Q2UY09,Q5TAT6,Q86Y22,Q8IZC6,Q8NFW1,Q96A83,Q96P44,Q99715,Q9BXS0,Q9P218,Q9UMD9
R-HSA-70263	Gluconeogenesis	A6NNW6,O00757,O14556,O43826,P00558,P04075,P04406,P05062,P06733,P06744,P07205,P09104,P09467,P09972,P11498,P13929,P15259,P18669,P35558,P35575,P57057,P60174,Q16822,Q8TED4-2,Q9BUM1,Q9NQR9
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	A7E2V4,O00231,O00232,O00487,O14818,O15234,O43242,O43347,O43364,O75093,O94813,O94813,P05386,P05387,P05388,P08708,P08865,P0CG47,P0CG47,P0CG48,P0CG48,P11940,P15170,P15880,P17980,P18077,P18124,P18621,P20618,P22090,P23396,P25398,P25786,P25787,P25788,P25789,P26373,P27635,P28066,P28070,P28072,P28074,P29400,P30050,P32969,P35268,P35998,P36578,P38919,P39019,P39023,P40429,P42677,P42766,P43686,P46776,P46777,P46778,P46779,P46781,P46782,P46783,P47914,P48556,P49207,P49720,P49721,P50458,P50914,P51665,P52298,P60866,P60896,P60900,P61247,P61254,P61313,P61326,P61353,P61371,P61513,P61927,P62081,P62191,P62195,P62241,P62244,P62249,P62263,P62266,P62269,P62273,P62277,P62280,P62333,P62424,P62495,P62701,P62750,P62753,P62829,P62841,P62847,P62851,P62854,P62857,P62861,P62877,P62888,P62891,P62899,P62906,P62910,P62913,P62917,P62945,P62979,P62979,P62987,P62987,P63173,P63220,P83731,P83881,P84098,Q02543,Q02878,Q04637,Q07020,Q09161,Q13200,Q13617,Q14118,Q15008,Q15287,Q15369,Q15370,Q16186,Q6P5R6,Q71UM5,Q86U70,Q8IYD1,Q8TD47,Q8TEY7,Q92901,Q969G2,Q969Q0,Q96A72,Q96EH5,Q96L21,Q96MS0-1,Q99436,Q99460,Q9BZI7,Q9H1J1,Q9HAU5,Q9HCK4,Q9NQ69,Q9UBR4,Q9UNM6,Q9UNX3,Q9Y3U8,Q9Y5S9,Q9Y6N7,Q9Y6N7
R-HSA-9013026	RHOB GTPase cycle	A7KAX9,B2RTY4,O00161,O00459,O14578-3,O14578,O15013,O15068,O15085,O60245,O60610,O60890,O75116,O75955,O94804,P02786,P10911,P11274,P14923,P27105,P27986,P43121,P52735,P62745,P68032,Q03135,Q07960,Q12774,Q12802,Q12979,Q13017,Q13459,Q13464,Q14254,Q15836,Q16512,Q16513,Q53LP3,Q5T5U3,Q6NZI2,Q6P5Z2,Q7Z628,Q86VI3,Q86VW2,Q8IUC4,Q8N1W1,Q8TAA9,Q8TCU6,Q8WUY9,Q92502,Q92888,Q92974,Q96PE2,Q96QB1,Q96RT1,Q99819,Q9BST9,Q9C0H5,Q9H0H5,Q9H2G2,Q9H8V3,Q9HCE6,Q9NQW6,Q9NR81,Q9NRY4,Q9NSV4,Q9NZN5,Q9UDY2,Q9UNA1,Q9Y3M8,Q9Y4D1
R-HSA-9013405	RHOD GTPase cycle	A7KAX9,I6L899,O00212,O00459,O15173,O43157,O60610,O60879-3,O95210,O95292,P12814,P20700,P27986,P42167,P43121,P47756,P49257,P50402,P51149,Q02952,Q03135,Q07960,Q13017,Q14739,Q15836,Q16643,Q5JTV8,Q5T5U3,Q658P3,Q68EM7,Q7Z7B0,Q86Y07,Q86YQ8,Q8IWW6,Q8NHP6,Q8TAA9,Q8TF30,Q8WUY9,Q96C19,Q9BSJ8,Q9BX68,Q9C0H5,Q9H0H5,Q9NQU5,Q9NRY4,Q9NSV4,Q9P286,Q9P2R3,Q9UEY8,Q9UIW2,Q9UNA1,Q9Y2U8,Q9Y6M7
R-HSA-9013409	RHOJ GTPase cycle	A7KAX9,O00161,O00308,O00401,O00459,O60890,O75323,O75914,O75962,O96013,P02786,P14923,P17302,P27105,P27986,P42167,P42768,P51149,P60953,Q00587,Q01968,Q03135,Q07960,Q13017,Q13153,Q13177,Q14155,Q14160,Q14161,Q15758,Q15836,Q3SXY8,Q5T0N5,Q5T2T1,Q5T5U3,Q5VT25,Q658P3,Q6IAA8,Q6ZW31,Q86VI3,Q86YQ8,Q8IVF7,Q8NF50,Q8TAA9,Q8TCU6,Q8TF74,Q8WUY9,Q96RU3,Q9H4E5,Q9NRY4,Q9NSV4,Q9UNA1,Q9Y2X7,Q9Y5S2,Q9Y6M7
R-HSA-9035034	RHOF GTPase cycle	A7KAX9,O00161,O00459,O60610,O60879,O75044,P12814,P20700,P27986,P42167,P43121,P47756,P51149,P60709,P80723,Q02952,Q03135,Q07960,Q13017,Q13459,Q13613,Q15836,Q53LP3,Q5JTV8,Q5T5U3,Q658P3,Q6S8J3,Q6UXY1,Q6ZW31,Q8IWW6,Q8TAA9,Q8WUY9,Q9BSJ8,Q9C0H5,Q9HBH0,Q9NSV4,Q9P0U3,Q9UEY8,Q9UHR4,Q9Y4F1,Q9Y6M7,Q9Y6X4
R-HSA-5362798	Release of Hh-Np from the secreting cell	A7MBM2,A7MBM2,O43323,O43323,P78333,P78536,Q14623,Q14623,Q15465,Q15465,Q6P988,Q9NQ36
R-HSA-1169408	ISG15 antiviral mechanism	A8CG34,A9QM74,O00505,O00629,O14933,O15131,O15504,O43432,O60573,O75369,O75688,O75694,O95786,P03496,P05161,P06730,P09914,P0CG47,P0CG48,P12270,P12493,P19174,P19525,P20591,P20592,P23458,P27361,P35658,P37198,P38919,P41226,P42224,P46934,P49790,P49792,P51965,P52292,P52294,P52948-3,P52948-4,P52948-5,P55735,P57740,P60842,P61088,P62979,P62987,P78344,P78406,Q04637,Q12769,Q13526,Q14240,Q14258,Q14457,Q14653,Q14974,Q5SRE5,Q7Z3B4,Q8N1F7,Q8N5X7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UII4,Q9UKX7,Q9UMW8,Q9Y4X5
R-HSA-159227	Transport of the SLBP independent Mature mRNA	A8CG34,O15504,O75694,P06730,P12270,P35658,P37198,P49790,P49792,P52298,P52948-3,P52948-4,P52948-5,P55735,P57740,P78406,Q09161,Q12769,Q5SRE5,Q7Z3B4,Q86V81,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UBU9,Q9UKX7
R-HSA-159230	Transport of the SLBP Dependant Mature mRNA	A8CG34,O15504,O75694,P06730,P12270,P35658,P37198,P49790,P49792,P52298,P52948-3,P52948-4,P52948-5,P55735,P57740,P78406,Q09161,Q12769,Q14493,Q5SRE5,Q7Z3B4,Q86V81,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UBU9,Q9UKX7
R-HSA-159231	Transport of Mature mRNA Derived from an Intronless Transcript	A8CG34,O15504,O75694,O95639,P06730,P12270,P35658,P37198,P49790,P49792,P52298,P52948-3,P52948-4,P52948-5,P55735,P57740,P78406,Q09161,Q10570,Q12769,Q5SRE5,Q6UN15,Q7Z3B4,Q86V81,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q92797,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9C0J8,Q9NRG9,Q9P2I0,Q9UBU9,Q9UKF6,Q9UKX7
R-HSA-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	A8CG34,O00148,O15234,O15504,O60508,O75152,O75694,O95391,P12270,P26368,P35658,P37198,P38919,P49790,P49792,P52298,P52948-3,P52948-4,P52948-5,P55735,P57740,P61326,P78406,P82979,P84103,Q01081,Q01130,Q05519,Q07955,Q08170,Q09161,Q12769,Q13242,Q13243,Q13247,Q13769,Q13838,Q15287,Q16629,Q53GS7,Q5SRE5,Q6I9Y2,Q7Z3B4,Q86V81,Q86W42,Q8IYB3,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8NI27,Q8TEM1,Q8WU68,Q8WUM0,Q92620,Q92621,Q96A72,Q96EE3-1,Q96EE3-2,Q96FV9,Q96HA1,Q96J01,Q96QD9,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9BY77,Q9BZI7,Q9GZY0,Q9NRG9,Q9P127,Q9UBU9,Q9UKK6,Q9UKX7,Q9Y3Y2,Q9Y5S9
R-HSA-165054	Rev-mediated nuclear export of HIV RNA	A8CG34,O14980,O15504,O75694,P04618,P12270,P18754,P35658,P37198,P43487,P46060,P49790,P49792,P52948-3,P52948-4,P52948-5,P55735,P57740,P62826,P78406,Q12769,Q5SRE5,Q7Z3B4,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKX7
R-HSA-168271	Transport of Ribonucleoproteins into the Host Nucleus	A8CG34,O15504,O75694,P03428,P03431,P03433,P03466,P12270,P35658,P37198,P49790,P49792,P52294,P52948-3,P52948-4,P52948-5,P55735,P57740,P78406,Q12769,Q14974,Q5SRE5,Q7Z3B4,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKX7
R-HSA-168276	NS1 Mediated Effects on Host Pathways	A8CG34,A9QM74,O00505,O00629,O15131,O15504,O75694,P03496,P05161,P12270,P35658,P37198,P49790,P49792,P52292,P52294,P52948-3,P52948-4,P52948-5,P55735,P57740,P78406,Q12769,Q14974,Q5SRE5,Q7Z3B4,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKX7
R-HSA-168325	Viral Messenger RNA Synthesis	A8CG34,O15504,O15514,O75694,P03428,P03431,P03433,P03466,P12270,P13984,P19387,P19388,P24928,P30876,P35269,P35658,P36954,P37198,P49790,P49792,P52434,P52435,P52948-3,P52948-4,P52948-5,P53803,P55735,P57740,P61218,P62487,P62875,P78406,Q12769,Q5SRE5,Q7Z3B4,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKX7
R-HSA-168333	NEP/NS2 Interacts with the Cellular Export Machinery	A8CG34,O14980,O15504,O75694,P03428,P03431,P03433,P03466,P03485,P03508,P12270,P35658,P37198,P49790,P49792,P52948-3,P52948-4,P52948-5,P55735,P57740,P62826,P78406,Q12769,Q5SRE5,Q7Z3B4,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKX7
R-HSA-170822	Regulation of Glucokinase by Glucokinase Regulatory Protein	A8CG34,O15504,O75694,P12270,P35557,P35658,P37198,P49790,P49792,P52948-3,P52948-4,P52948-5,P55735,P57740,P78406,Q12769,Q14397,Q5SRE5,Q7Z3B4,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKX7
R-HSA-180746	Nuclear import of Rev protein	A8CG34,O15504,O75694,P04618,P04618,P06748,P06748,P12270,P18754,P35658,P37198,P49790,P49792,P52948-3,P52948-4,P52948-5,P55735,P57740,P62826,P78406,Q12769,Q14974,Q14974,Q5SRE5,Q7Z3B4,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKX7
R-HSA-180910	Vpr-mediated nuclear import of PICs	A8CG34,O15504,O75475,O75531,O75694,P04585,P04591,P04618,P05919,P12270,P17096,P35658,P37198,P49790,P49792,P52294,P52948-3,P52948-4,P52948-5,P55735,P57740,P69723,P69726,P78406,Q12769,Q5SRE5,Q7Z3B4,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKX7
R-HSA-191859	snRNP Assembly	A8CG34,O14744,O14893,O15504,O75694,O95149,P0DTD1-1,P12270,P14678,P35658,P37198,P49790,P49792,P52298,P52948-3,P52948-4,P52948-5,P54105,P55735,P57678,P57740,P62304,P62306,P62308,P62314,P62316,P62318,P78406,Q09161,Q12769,Q16637,Q5SRE5,Q7Z3B4,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8TEQ6,Q8WUM0,Q8WXD5,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q96RS0,Q99567,Q9BQA1,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9H814,Q9H840,Q9NRG9,Q9NWZ8,Q9UHI6,Q9UKX7
R-HSA-3108214	SUMOylation of DNA damage response and repair proteins	A8CG34,O00257,O15504,O60216,O75694,O75925,O75928-1,O95714,P09874,P12270,P23497,P27694,P29590,P35226,P35227,P35658,P37198,P38398,P41208,P43351,P49790,P49792,P52948-3,P52948-4,P52948-5,P54132,P55735,P55854,P57740,P61956,P63165,P63279,P78364,P78406,Q01831,Q06587,Q12769,Q13426,Q13569,Q14191,Q14676,Q14683,Q14781,Q5SRE5,Q7Z3B4,Q8IXK0,Q8IY18,Q8IYW5,Q8N140,Q8N1F7,Q8N2W9,Q8N3U4,Q8N726,Q8NDX5,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUI4,Q8WUM0,Q8WV22,Q8WVM7,Q92621,Q96EE3-1,Q96EE3-2,Q96GD3-2,Q96HA1,Q96MF7,Q96MG7,Q96SB8,Q99496,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9HC52,Q9NRG9,Q9NXX6,Q9UKX7,Q9UQE7
R-HSA-3232142	SUMOylation of ubiquitinylation proteins	A8CG34,O15504,O75694,O75925,O75928-1,P12270,P14373,P29590,P35658,P37198,P40337,P49790,P49792,P52948-3,P52948-4,P52948-5,P55735,P57740,P63165,P63279,P78406,Q00987,Q12769,Q5SRE5,Q7Z3B4,Q8N1F7,Q8N2W9,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKX7
R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly	A8CG34,O15504,O75694,O95067,P06493,P12270,P14635,P35658,P37198,P49790,P49792,P52948-3,P52948-4,P52948-5,P55735,P57740,P78406,Q12769,Q5SRE5,Q7Z3B4,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TD19,Q8TDX7,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9HC98,Q9NRG9,Q9UKX7
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	A8CG34,O15504,O43301,O75190,O75694,O95429,O95757,O95816,O95817,P0DMV8,P0DMV9,P11021,P11142,P12270,P15927,P17066,P25685,P27361,P27694,P28482,P34931,P34932,P35244,P35658,P37198,P38646,P48723,P48741,P49137,P49790,P49792,P49841,P50502,P52948-3,P52948-4,P52948-5,P54652,P55735,P57740,P62258,P78406,Q00613,Q0VDF9,Q12769,Q13315,Q13535,Q53FT3,Q5SRE5,Q7Z3B4,Q86WX3,Q8N163,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92598,Q92621,Q96EB6,Q96EE3-1,Q96EE3-2,Q96HA1,Q96MM6,Q99543,Q99567,Q99615,Q99933,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKX7,Q9UL15
R-HSA-4085377	SUMOylation of SUMOylation proteins	A8CG34,O15504,O75694,P12270,P35658,P37198,P49790,P49792,P52948-3,P52948-4,P52948-5,P55735,P57740,P61956,P63165,P63279,P78406,Q12769,Q5SRE5,Q7Z3B4,Q8N1F7,Q8N2W9,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9NS56,Q9UKX7
R-HSA-4551638	SUMOylation of chromatin organization proteins	A8CG34,O00257,O15504,O75694,O75925,O75928-2,O96006,P12270,P35226,P35227,P35658,P37198,P45973,P49790,P49792,P52948-3,P52948-4,P52948-5,P55735,P55854,P56524,P57740,P61956,P62805,P63165,P63165,P63279,P63279,P78364,P78406,Q01826,Q06587,Q12769,Q12873,Q13547,Q14781,Q15022,Q5SRE5,Q7Z3B4,Q8IXK0,Q8N1F7,Q8NDX5,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q92769,Q969R5,Q96EE3-1,Q96EE3-2,Q96GD3-2,Q96HA1,Q99496,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9HC52,Q9NRG9,Q9UKX7,Q9UPW6
R-HSA-4570464	SUMOylation of RNA binding proteins	A8CG34,O00257,O15504,O75694,P07910,P12270,P35226,P35227,P35658,P37198,P49790,P49792,P52948-3,P52948-4,P52948-5,P55735,P57740,P61956,P61978,P63165,P63279,P78364,P78406,Q06587,Q12769,Q14781,Q5SRE5,Q7Z3B4,Q8IXK0,Q8N1F7,Q8NDX5,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96GD3-2,Q96HA1,Q99496,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9HC52,Q9NRG9,Q9UKX7,Q9Y2X3
R-HSA-4615885	SUMOylation of DNA replication proteins	A8CG34,A8CG34,O14965,O15392,O15504,O15504,O75694,O75694,P11387,P11388,P11388,P12004,P12270,P12270,P35658,P35658,P37198,P37198,P46060,P49790,P49790,P49792,P49792,P52948-3,P52948-3,P52948-4,P52948-4,P52948-5,P52948-5,P55735,P55854,P57740,P57740,P61956,P63165,P63165,P63279,P63279,P78406,P78406,Q02880,Q12769,Q12769,Q53HL2,Q5SRE5,Q5SRE5,Q7Z3B4,Q7Z3B4,Q8N1F7,Q8N1F7,Q8N2W9,Q8NFH3,Q8NFH3,Q8NFH4,Q8NFH4,Q8NFH5,Q8NFH5,Q8TEM1,Q8TEM1,Q8WUM0,Q8WUM0,Q92621,Q92621,Q96EE3-1,Q96EE3-2,Q96EE3-2,Q96GD4,Q96HA1,Q96HA1,Q99567,Q99567,Q9BTX1,Q9BTX1,Q9BVL2-1,Q9BVL2-1,Q9BVL2-2,Q9BVL2-2,Q9BW27,Q9BW27,Q9NQS7,Q9NRG9,Q9NRG9,Q9UKX7,Q9UKX7,Q9Y6X2
R-HSA-5578749	Transcriptional regulation by small RNAs	A8CG34,O15397,O15504,O15514,O60814,O75694,P04908,P06899,P0C5Y9,P12270,P16104,P19387,P19388,P20671,P23527,P24928,P30876,P33778,P35658,P36954,P37198,P49790,P49792,P52434,P52435,P52948-3,P52948-4,P52948-5,P53803,P55735,P57053,P57740,P58876,P61218,P62487,P62805,P62807,P62826,P62875,P68431,P78406,P84243,Q12769,Q16777,Q16778,Q5SRE5,Q6FI13,Q71DI3,Q71UI9,Q7Z3B4,Q8N1F7,Q8N257,Q8NDV7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q93077,Q93079,Q96A08,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q99877,Q99878,Q99879,Q99880,Q9BTM1,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKV8,Q9UKX7,Q9UL18
R-HSA-5619107	Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	A8CG34,O15504,O75694,P12270,P35557,P35658,P37198,P49790,P49792,P52948-3,P52948-4,P52948-5,P55735,P57740,P78406,Q12769,Q14397,Q5SRE5,Q7Z3B4,Q8N1F7,Q8NFH3,Q8NFH4,Q8NFH5,Q8TEM1,Q8WUM0,Q92621,Q96EE3-1,Q96EE3-2,Q96HA1,Q99567,Q9BTX1,Q9BVL2-1,Q9BVL2-2,Q9BW27,Q9NRG9,Q9UKX7
